"categories","Star1rvws","Star2rvws","Star3rvws","Star4rvws","Star5rvws","attributes.Noise.Level","latitude","longitude","stars","business_id","name","clstr","Businessid","Cluster","ttlRelSuck","ClusterRank"
"['Casinos', 'Arts & Entertainment', 'American (Traditional)', 'American (New)', 'Restaurants']",85,105,95,69,24,"average",36.0998077393,-115.167503357,2.5,"KJnVuzpveyDrHARVNZaYVg","Hooters Casino Hotel",5,"KJnVuzpveyDrHARVNZaYVg",5,3440.82883033034,1
"['Bars', 'Mediterranean', 'Nightlife', 'Restaurants']",13,40,76,201,162,"average",36.111978,-115.17698,4,"KjymOs12Mpy0Kd54b7T9MA","Olives",5,"KjymOs12Mpy0Kd54b7T9MA",5,12632.3215353854,79
"['Food', 'Desserts', 'American (Traditional)', 'Restaurants']",14,24,88,211,89,"average",36.123618,-115.17033,4,"kwEQ3uY9Jwmknb5kNg3UlA","Grand Lux Cafe",5,"kwEQ3uY9Jwmknb5kNg3UlA",5,11431.4451158383,53
"['Vegetarian', 'Thai', 'Vegan', 'Restaurants']",12,14,33,94,130,"average",36.1425239406,-115.142526297,4,"KwLfgeylp9d8zY3KacREiw","Komol Restaurant",7,"KwLfgeylp9d8zY3KacREiw",7,1101.02666741529,7
"['Breakfast & Brunch', 'American (Traditional)', 'Restaurants']",13,28,69,157,209,"average",36.2037425,-115.2598768,4,"LCeF1wK5OqP3PPEVBa5Xfw","BabyStacks Cafe",4,"LCeF1wK5OqP3PPEVBa5Xfw",4,381.322888518666,2
"['Seafood', 'Steakhouses', 'Restaurants']",8,30,46,155,242,"average",36.1174528,-115.1766881,4,"LLDGTT7FExklkQvHebEjRg","Joe's Seafood Prime Steak & Stone Crab",5,"LLDGTT7FExklkQvHebEjRg",5,12167.9555210237,71
"['Thai', 'Restaurants']",23,53,146,319,447,"average",36.1435662636,-115.142826221,4,"lliksv-tglfUz1T3B3vgvA","Lotus of Siam",7,"lliksv-tglfUz1T3B3vgvA",7,837.34594595865,3
"['Cajun/Creole', 'Restaurants']",11,24,41,120,99,"average",36.1586702,-115.1583024,4,"Lp-A-JNRUUH72uou5-pMtQ","Lola's",7,"Lp-A-JNRUUH72uou5-pMtQ",7,1151.01488362077,9
"['Sushi Bars', 'Restaurants']",32,44,71,167,140,"average",36.047306,-115.244158,3.5,"lPh02W25cOrAz57UbTpbFQ","Oyshi Sushi",6,"lPh02W25cOrAz57UbTpbFQ",6,946.27290768436,1
"['Sushi Bars', 'Japanese', 'Restaurants']",13,40,85,110,34,"average",36.1397449251,-115.168417291,3.5,"Lq6CDJ2yHmMs4N7jscQhHQ","RA Sushi Bar Restaurant",7,"Lq6CDJ2yHmMs4N7jscQhHQ",7,843.079854614722,4
"['Tapas Bars', 'Restaurants', 'Italian']",15,18,43,116,120,"average",36.144269,-115.191825,4,"LXrq0Fw6MCz70KMA928ldQ","Herbs & Rye",2,"LXrq0Fw6MCz70KMA928ldQ",2,2354.81234075799,19
"['Arts & Entertainment', 'Music Venues', 'Restaurants', 'Hotels', 'Event Planning & Services', 'Hotels & Travel', 'American (New)', 'Nightlife']",18,39,84,105,50,"very_loud",36.0928664972,-115.175868273,3.5,"M2SjLXsuAy5RNKwxaA5E1g","House of Blues",5,"M2SjLXsuAy5RNKwxaA5E1g",5,6343.91441947633,6
"['Steakhouses', 'Restaurants']",23,25,54,131,258,"average",36.1176319106,-115.174907433,4,"mDdqifuTrfXAOfxiLMGu5Q","Gordon Ramsay Steak",5,"mDdqifuTrfXAOfxiLMGu5Q",5,11662.2928402404,64
"['Pizza', 'Restaurants']",8,16,36,118,169,"average",36.1718303,-115.1420069,4.5,"MN0OLvP8i0SirMJ7AMuMzA","Pizza Rock",7,"MN0OLvP8i0SirMJ7AMuMzA",7,1192.06876848078,12
"['Tapas/Small Plates', 'Restaurants']",17,39,75,126,122,"average",36.0920808497,-115.175111922,3.5,"N50HceZf1595UtU867u4uQ","Fleur by Hubert Keller",5,"N50HceZf1595UtU867u4uQ",5,11505.7924214056,58
"['Bars', 'Steakhouses', 'Nightlife', 'Lounges', 'Restaurants']",9,18,42,94,167,"average",36.1243782644,-115.16876318,4,"naLrErBuJr9IWd6_rv6-XQ","CUT",5,"naLrErBuJr9IWd6_rv6-XQ",5,11629.3165628776,61
"['Buffets', 'Restaurants']",29,84,158,281,121,"average",36.1178899374,-115.189394611,3.5,"ngNvH4sxnH9aMukTZ67R_Q","Carnival World Buffet",2,"ngNvH4sxnH9aMukTZ67R_Q",2,2021.22487579819,7
"['Burgers', 'Fast Food', 'Restaurants']",23,50,72,112,69,"average",36.0113116,-115.1747074,3.5,"npfVfumxVAkQNYpY1fSvew","Steak 'n Shake",8,"npfVfumxVAkQNYpY1fSvew",8,508.50965224732,2
"['Bars', 'Asian Fusion', 'Nightlife', 'Restaurants']",15,34,116,199,164,"average",36.1239774361,-115.167756725,4,"NsnZ5GhagXBKrCOelxVQxw","SUSHISAMBA - Las Vegas",5,"NsnZ5GhagXBKrCOelxVQxw",5,12130.3772319636,70
"['French', 'Restaurants']",9,29,59,115,81,"average",36.1097544,-115.1738726,3.5,"NxsCqQCpofRx08m535JYIA","Comme Ça",5,"NxsCqQCpofRx08m535JYIA",5,12269.2593443128,74
"['Breakfast & Brunch', 'Bars', 'American (New)', 'Nightlife', 'Restaurants']",49,62,98,103,47,"average",36.1120152614,-115.172531605,3,"nZgYNbl1XlZyyKlISMoG6w","Sugar Factory American Brasserie",5,"nZgYNbl1XlZyyKlISMoG6w",5,9470.42035479265,24
"['American (New)', 'Mediterranean', 'Restaurants']",4,14,32,91,180,"average",36.1075773939,-115.176501274,4,"OiCxoAIoBvEWxf7p1qVVmA","Sage",5,"OiCxoAIoBvEWxf7p1qVVmA",5,13548.1582105219,82
"['Thai', 'Restaurants']",15,13,30,114,86,"average",36.073115,-115.243698,4,"olwuTiAEEFgSYefWUcZWbQ","Archi's Thai Bistro",6,"olwuTiAEEFgSYefWUcZWbQ",6,1062.02212057147,7
"['Lounges', 'Bars', 'Nightlife', 'Dance Clubs']",54,53,97,96,60,"very_loud",36.1147619,-115.1729315,2.5,"OoeTGTkxvSZqqicZ8ljJjw","Hakkasan Nightclub",5,"OoeTGTkxvSZqqicZ8ljJjw",5,7557.95603341927,11
"['Hotels & Travel', 'Arts & Entertainment', 'Casinos', 'Event Planning & Services', 'Hotels']",30,40,71,238,80,"average",36.1703001,-115.1445082,3.5,"OUpcKYGbVYgSS1Oo7aQ56Q","Golden Nugget Hotel & Casino",7,"OUpcKYGbVYgSS1Oo7aQ56Q",7,805.955917751386,2
"['Sushi Bars', 'Japanese', 'Restaurants']",3,3,15,56,233,"average",36.0552438,-115.2258702,4.5,"OwBPjUz2o0J5K3DzcHkBtg","Soho Japanese Restaurant",6,"OwBPjUz2o0J5K3DzcHkBtg",6,1248.06812322108,11
"['Breakfast & Brunch', 'Creperies', 'Restaurants']",3,3,14,74,176,"average",36.016461,-115.1171167,4.5,"pD7NzevYc6HhYu13wCxiiw","Crêpe Expectations",8,"pD7NzevYc6HhYu13wCxiiw",8,723.976645434636,7
"['Seafood', 'Cajun/Creole', 'Restaurants']",8,15,47,106,114,"average",36.118178,-115.209365,4,"PiV7phVMf7glDpH_J630Ow","The Boiling Crab",2,"PiV7phVMf7glDpH_J630Ow",2,2208.76008048668,13
"['Breakfast & Brunch', 'Cafes', 'Restaurants']",11,27,61,126,157,"average",36.1136569,-115.2614822,4,"pPfQ73--Y_h5Or0aqDgEGA","BabyStacks Cafe",1,"pPfQ73--Y_h5Or0aqDgEGA",1,1100.24515513721,4
"['Food', 'Bagels', 'Cafes', 'Delis', 'Restaurants']",16,10,37,115,101,"average",36.1759103,-115.260485,4,"pQSkGB3HIunzNn_vIRWUNQ","The Bagel Cafe",4,"pQSkGB3HIunzNn_vIRWUNQ",4,432.849568127131,4
"['Lounges', 'Bars', 'Nightlife', 'Dance Clubs']",97,154,291,348,149,"very_loud",36.1214517,-115.169597789,3,"PqTX5j9yfsPbd1qQCA1EwA","Tao Nightclub",5,"PqTX5j9yfsPbd1qQCA1EwA",5,6810.79840795907,8
"['Burgers', 'Restaurants']",35,57,147,389,457,"average",36.0427979056,-115.153225035,4,"PXviRcHR1mqdH4vRc2LEAQ","Bachi Burger",8,"PXviRcHR1mqdH4vRc2LEAQ",8,364.195521416693,1
"['Bars', 'French', 'Nightlife', 'Lounges', 'American (New)', 'Restaurants']",16,32,86,192,153,"average",36.0930659,-115.177814,4,"Pz7SWZQhxL6ZbhL9jE2NTA","MIX",5,"Pz7SWZQhxL6ZbhL9jE2NTA",5,11533.3344799551,59
"['Sushi Bars', 'Japanese', 'Restaurants']",4,23,54,88,141,"average",36.1091636136,-115.153493285,4,"q_DrPmiLrHEpR_SQvQXELQ","Nobu",3,"q_DrPmiLrHEpR_SQvQXELQ",3,1347.22615996673,12
"['Tapas/Small Plates', 'Breakfast & Brunch', 'Mexican', 'Restaurants']",17,47,80,168,137,"average",36.0899498633,-115.175814183,4,"Q_Rwcv9APBLggk2KAsBEvg","Border Grill",5,"Q_Rwcv9APBLggk2KAsBEvg",5,10724.2344020298,41
"['Breakfast & Brunch', 'American (New)', 'Restaurants']",24,88,194,328,223,"average",36.1178829948,-115.17124454,4,"QbmcCE_cLq4WO8ZMKImaLw","Hash House A Go Go",5,"QbmcCE_cLq4WO8ZMKImaLw",5,10560.4571204644,39
"['Sushi Bars', 'Japanese', 'Restaurants']",11,15,37,80,130,"average",36.1144681157,-115.281096697,4,"QGkM1TvUrc1gmd1qkpnMJg","Sushi Koma",1,"QGkM1TvUrc1gmd1qkpnMJg",1,994.081232087337,2
"['American (New)', 'Restaurants']",5,20,67,124,159,"average",36.1182729219,-115.173411369,4,"QJlab4DqvBRJPUfg7Vn5ZQ","Spago",5,"QJlab4DqvBRJPUfg7Vn5ZQ",5,12609.3353068155,78
"['Steakhouses', 'Seafood', 'Restaurants', 'Brazilian']",7,12,24,83,147,"average",36.1147454655,-115.157157183,4.5,"qLa_684GMvVfR4WNHshQSA","Fogo de Chão Brazilian Steakhouse",3,"qLa_684GMvVfR4WNHshQSA",3,1328.76097118845,9
"['Steakhouses', 'Restaurants']",8,30,53,103,100,"very_loud",36.109699457,-115.17441503,4,"QRXv7Jvq_SuiiT_SKvbdig","STK Las Vegas",5,"QRXv7Jvq_SuiiT_SKvbdig",5,10506.351380079,38
"['Vietnamese', 'Restaurants']",8,21,45,118,62,"average",36.1269341,-115.1977704,4,"r0ZoytDjK4CY5ytFNjZLvw","Kinh Do",2,"r0ZoytDjK4CY5ytFNjZLvw",2,2002.58351701361,5
"['Hotels & Travel', 'Arts & Entertainment', 'Casinos', 'Event Planning & Services', 'Hotels']",46,88,118,92,15,"average",36.1362847,-115.1514119,2.5,"RbkLrCFa2AL1K25GCnNK8A","LVH - Las Vegas Hotel & Casino",7,"RbkLrCFa2AL1K25GCnNK8A",7,590.901187202946,1
"['Buffets', 'Restaurants']",46,102,212,293,113,"average",36.1129302794,-115.169968853,3.5,"rBPQuQgTcMtUq5-RYhY2uQ","Le Village Buffet",5,"rBPQuQgTcMtUq5-RYhY2uQ",5,9369.55468760347,22
"['Bars', 'Sushi Bars', 'Japanese', 'Nightlife', 'Lounges', 'Restaurants']",7,24,58,118,90,"average",36.118966,-115.17305,4,"rfDTJLEwZZ2EGOZiTDdqQA","Sushi Roku",5,"rfDTJLEwZZ2EGOZiTDdqQA",5,12097.2236968186,69
"['Breakfast & Brunch', 'Sandwiches', 'Restaurants']",5,11,30,107,127,"average",36.088774,-115.207338,4.5,"RhbOa-Ft3sZB4B_1j5LfyA","Mr. Mama's",6,"RhbOa-Ft3sZB4B_1j5LfyA",6,1053.5882556302,5
"['Bars', 'American (Traditional)', 'Cocktail Bars', 'Nightlife', 'Steakhouses', 'Restaurants']",9,15,41,95,90,"average",36.0927885119,-115.176156283,4,"rP76z9iDOFczywAiee-l7A","Red Square Restaurant & Vodka Lounge",5,"rP76z9iDOFczywAiee-l7A",5,14965.8931730899,86
"['Steakhouses', 'Restaurants', 'Gluten-Free', 'Brazilian']",17,22,62,160,267,"average",36.068584,-115.178605,4,"ryvMJK6AlbU35HKrlFT61w","Texas de Brazil",6,"ryvMJK6AlbU35HKrlFT61w",6,1093.73438346497,8
"['Buffets', 'Restaurants']",44,81,203,439,530,"average",36.1158543432,-115.176174388,4,"sIyHTizqAiGu12XMLX3N3g","Bacchanal Buffet",5,"sIyHTizqAiGu12XMLX3N3g",5,11789.6402277466,65
"['Buffets', 'Restaurants']",43,121,196,210,77,"average",36.1102503133,-115.171666064,3,"SLyacGZuMUKqrQJEooSkjw","Spice Market Buffet",5,"SLyacGZuMUKqrQJEooSkjw",5,8618.96474986929,13
"['Bars', 'American (Traditional)', 'Breakfast & Brunch', 'Nightlife', 'Lounges', 'Restaurants']",20,42,118,315,228,"average",36.1336130336,-115.163122017,4,"SsTxjxo8qvqBMvan1rzNzg","The Peppermill Restaurant & Fireside Lounge",7,"SsTxjxo8qvqBMvan1rzNzg",7,1040.03932341332,5
"['Burgers', 'Asian Fusion', 'Restaurants']",17,29,68,143,169,"average",36.1465677,-115.3007512,4,"t6SuvEq9PPVGzNv5bJzDtw","Bachi Burger",1,"t6SuvEq9PPVGzNv5bJzDtw",1,1133.03243401553,7
"['Arts & Entertainment', 'Resorts', 'Casinos', 'Event Planning & Services', 'Hotels & Travel', 'Hotels']",23,38,90,145,68,"",36.114442,-115.195282,3.5,"tbTc7094zwIYAtU-0NkU4w","Palms Casino Resort",2,"tbTc7094zwIYAtU-0NkU4w",2,1647.66324127641,1
"['Chinese', 'Restaurants']",8,24,112,123,35,"average",36.12008,-115.17106,3.5,"tcphcsPONrP82kUyvcELoA","Noodle Asia",5,"tcphcsPONrP82kUyvcELoA",5,10342.3763272702,33
"['Breakfast & Brunch', 'French', 'Restaurants']",18,73,199,459,457,"average",36.122293409,-115.170278879,4,"tFU2Js_nbIZOrnKfYJYBBg","Bouchon Bistro",5,"tFU2Js_nbIZOrnKfYJYBBg",5,11371.5488789201,52
"['Dim Sum', 'Chinese', 'Restaurants']",17,32,57,120,44,"loud",36.1153088291,-115.195201635,3.5,"tI3J5jomrBs--n7r92186g","Ping Pang Pong",2,"tI3J5jomrBs--n7r92186g",2,1866.12696957787,3
"['Arts & Entertainment', 'American (Traditional)', 'Food', 'Breweries', 'Casinos', 'Restaurants']",18,34,123,302,185,"average",36.1130255,-115.1634847,4,"tqu42L0qXzkvYKSruOz0IA","Ellis Island Casino & Brewery",5,"tqu42L0qXzkvYKSruOz0IA",5,8876.21569040202,18
"['Arts & Entertainment', 'Resorts', 'Casinos', 'Event Planning & Services', 'Hotels & Travel', 'Hotels']",35,51,134,372,141,"average",36.0922940574,-115.174351094,3.5,"TWD8c5-P7w9v-2KX_GSNZQ","Mandalay Bay Resort & Casino",5,"TWD8c5-P7w9v-2KX_GSNZQ",5,7530.77785230226,10
"['Mexican', 'Restaurants']",17,54,117,148,38,"loud",36.1100828,-115.1538714,3.5,"UEUQS4z7s-DRzQjky92KYw","Pink Taco",3,"UEUQS4z7s-DRzQjky92KYw",3,994.14845980346,3
"['Korean', 'Barbeque', 'Restaurants']",21,23,64,115,34,"average",36.1264888197,-115.193426684,3.5,"UKKz4HdQC0aH9j5lLi4u8Q","Tofu Hut",2,"UKKz4HdQC0aH9j5lLi4u8Q",2,1689.38911621182,2
"['American (Traditional)', 'American (New)', 'Cafes', 'Restaurants']",24,48,99,86,32,"average",36.112379,-115.174531,3,"UpMR63WZgIn8VDKnYpDwXA","Cafe Bellagio",5,"UpMR63WZgIn8VDKnYpDwXA",5,11353.8328663154,51
"['Bars', 'Japanese', 'Asian Fusion', 'Nightlife', 'Lounges', 'Restaurants']",7,24,37,118,82,"average",36.108713,-115.173192,4,"uqisw8IXD5ZutU4MT2MQVw","Social House",5,"uqisw8IXD5ZutU4MT2MQVw",5,11657.7586281549,63
"['French', 'Restaurants']",5,23,55,118,67,"average",36.1172428598,-115.175013639,4,"V9euJerhCkh7PXKjtsE2rQ","Payard Pâtisserie & Bistro",5,"V9euJerhCkh7PXKjtsE2rQ",5,11209.3309653849,49
"['Hawaiian', 'Restaurants']",10,10,31,118,229,"average",36.041815936,-115.278172543,4.5,"VkPzsY09S4zO0XqhA1mc6Q","Island Flavor",6,"VkPzsY09S4zO0XqhA1mc6Q",6,1058.64883361073,6
"['Bars', 'Food', 'Beer, Wine & Spirits', 'Nightlife', 'Gastropubs', 'Restaurants']",23,56,107,192,69,"average",36.1071613,-115.1738191,3.5,"vSf0pqvaLp5sVSjJPeOqqQ","Todd English P.U.B.",5,"vSf0pqvaLp5sVSjJPeOqqQ",5,10093.4548092821,30
"['Cheesesteaks', 'Steakhouses', 'Restaurants']",9,30,48,121,153,"average",36.0911934011,-115.176574392,4,"XDYnLQC8ViZejuCDp4eCwg","STRIPSTEAK",5,"XDYnLQC8ViZejuCDp4eCwg",5,11653.0607906499,62
"['Breakfast & Brunch', 'American (New)', 'Restaurants']",60,133,207,450,371,"average",36.144667,-115.239955,4,"xfwRO04KbAPw_zRotCfWQQ","Hash House A Go Go",4,"xfwRO04KbAPw_zRotCfWQQ",4,387.674566172719,3
"['American (Traditional)', 'Restaurants']",123,269,468,475,135,"average",36.1156697204,-115.17331658,3,"Xhg93cMdemu5pAMkDoEdtQ","Serendipity 3",5,"Xhg93cMdemu5pAMkDoEdtQ",5,9888.43086089914,28
"['Japanese', 'Restaurants']",9,9,36,103,292,"average",36.1264365991,-115.209546089,4.5,"xNcqwYAUeVOhe3KNC4Xjaw","Raku",2,"xNcqwYAUeVOhe3KNC4Xjaw",2,2469.53278562172,23
"['Korean', 'Asian Fusion', 'Hawaiian', 'Restaurants']",1,7,18,83,156,"average",36.1440209,-115.1938661,4.5,"xxOQ7h6s3InV8o8DOVHlMA","Island Style",2,"xxOQ7h6s3InV8o8DOVHlMA",2,2365.23048888204,20
"['Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']",30,84,218,443,312,"average",36.092875,-115.176247,4,"xyTJYlbE_MLouK6rCou6zg","Burger Bar",5,"xyTJYlbE_MLouK6rCou6zg",5,11488.4341973122,56
"['Arts & Entertainment', 'Beauty & Spas', 'Casinos', 'Event Planning & Services', 'Hotels & Travel', 'Day Spas', 'Hotels']",18,16,41,200,140,"",36.1564032797,-115.333500046,4,"y4Qyf4PPSOHdQFTr3Zi_KA","Red Rock Casino Resort & Spa",1,"y4Qyf4PPSOHdQFTr3Zi_KA",1,902.045916246574,1
"['American (New)', 'Caribbean', 'Restaurants']",11,19,38,129,254,"average",36.0771122954,-115.298295021,4.5,"y6NFyThUU2wtTNa0rX7VrA","DW Bistro",1,"y6NFyThUU2wtTNa0rX7VrA",1,1181.62361481378,9
"['Steakhouses', 'Restaurants']",10,29,60,161,182,"average",36.1217915536,-115.169377327,4,"YacTpiq0ZptFcXD7I-kdGA","Delmonico Steakhouse",5,"YacTpiq0ZptFcXD7I-kdGA",5,12581.8195326834,77
"['Sushi Bars', 'Japanese', 'Restaurants']",17,19,60,127,156,"average",36.011942,-115.136169,4,"yD1dRYi7USzhYVKiqZ7JVg","Sushi Mon",8,"yD1dRYi7USzhYVKiqZ7JVg",8,582.414966266385,3
"['Bars', 'Mexican', 'Nightlife', 'Restaurants']",33,61,88,85,24,"loud",36.1044221949,-115.173368454,3,"yJDSMugu_Pom3pJE8MRrJA","Diablo's Cantina",5,"yJDSMugu_Pom3pJE8MRrJA",5,4959.42197139096,4
"['Buffets', 'Restaurants']",34,141,310,589,437,"average",36.1268872232,-115.165590048,3.5,"YNQgak-ZLtYJQxlDwN-qIg","The Buffet",5,"YNQgak-ZLtYJQxlDwN-qIg",5,12024.2253134638,67
"['Vietnamese', 'Restaurants']",25,37,85,171,68,"average",36.1262669,-115.2062973,3.5,"Yq8LiVymGA7vBpGCQuDfRw","Pho So 1",2,"Yq8LiVymGA7vBpGCQuDfRw",2,1904.60297595452,4
"['Seafood', 'American (Traditional)', 'Cajun/Creole', 'Restaurants']",19,25,68,268,241,"loud",36.1265925847,-115.206305981,4,"YrIfgzLj0DPStJ1ESAS_Qg","Hot N Juicy Crawfish",2,"YrIfgzLj0DPStJ1ESAS_Qg",2,2192.1109664801,12
"['Steakhouses', 'Restaurants']",9,16,38,83,253,"average",36.1180678,-115.1552788,4.5,"Z0kyK8wCBNGkkUT9UrMWcg","Del Frisco's Double Eagle Steak House",3,"Z0kyK8wCBNGkkUT9UrMWcg",3,1101.53197788231,6
"['Pizza', 'Restaurants']",9,20,30,108,146,"average",36.0159696693,-115.119311663,4,"z67yrh03lRSANrpPsRcTfw","Grimaldi's Pizzeria",8,"z67yrh03lRSANrpPsRcTfw",8,650.810134257701,6
"['Thai', 'Restaurants']",20,13,58,151,124,"average",36.1688018067,-115.139880089,4,"ZHDf8TUICsB2peQ9AmXeFw","Le Thai",7,"ZHDf8TUICsB2peQ9AmXeFw",7,1102.19592163364,8
"['Breakfast & Brunch', 'Steakhouses', 'American (Traditional)', 'Restaurants']",11,18,35,101,120,"average",35.9954,-115.2067058,4,"zNzJkzZxPTeTbRIRfeU9_Q","Rise & Shine, a Steak & Egg Place",6,"zNzJkzZxPTeTbRIRfeU9_Q",6,1138.41483300494,9
"['Breakfast & Brunch', 'American (New)', 'Restaurants']",17,27,57,155,182,"average",36.166723,-115.13894,4,"ZP6qFq7LUh6Tr7WHPoOW6g","eat.",7,"ZP6qFq7LUh6Tr7WHPoOW6g",7,1094.81563402172,6
"['Buffets', 'Restaurants']",50,144,378,659,489,"average",36.1098756593,-115.175163842,3.5,"zt1TpTuJ6y9n551sw9TaEg","Wicked Spoon",5,"zt1TpTuJ6y9n551sw9TaEg",5,11155.3358060829,47
"['Buffets', 'Restaurants']",42,126,160,162,56,"average",36.107406,-115.17698,3,"zTCCbg7mGslxACL5KlAPIQ","The Buffet at ARIA",5,"zTCCbg7mGslxACL5KlAPIQ",5,8846.25685907745,17
"['Sushi Bars', 'Japanese', 'Restaurants']",23,20,57,101,96,"average",36.1259513087,-115.198216438,3.5,"ZxmKA8b7njab1DNzCEU4Ow","Sushi Kaya",2,"ZxmKA8b7njab1DNzCEU4Ow",2,2054.43897151662,10
